experiment,image_path,loss,train_fid,eval_fid,train_is,eval_is,changed_params,latent_dim,use_batchnorm_gen,use_spectral_norm,lr,k_steps,g_steps,g_activation,e_activation,real_ratio,g_dropout,e_dropout,G_loss,E_loss
base_2,outputs/gan_images/base_2.png,-333.28192138671875,137.82362365722656,175.80284118652344,1.4971221685409546,1.514560580253601,None,128,True,True,0.0002,5,1,relu,leakyrelu,0.5,0.0,0.0,-794.6076049804688,128.04376220703125
k3_g1,outputs/gan_images/k3_g1.png,-447.0192565917969,133.93760681152344,166.2175750732422,1.5437639951705933,1.5313621759414673,"k_steps=3, g_steps=1",128,True,True,0.0002,3,1,relu,leakyrelu,0.5,0.0,0.0,-1035.2352294921875,141.19671630859375
k5_g2,outputs/gan_images/k5_g2.png,-303.1981658935547,136.0525665283203,175.33810424804688,1.55124032497406,1.5561574697494507,"k_steps=5, g_steps=2",128,True,True,0.0002,5,2,relu,leakyrelu,0.5,0.0,0.0,-741.2765502929688,134.88021850585938
g_relu_e_relu,outputs/gan_images/g_relu_e_relu.png,-471.2658157348633,140.48793029785156,174.6232147216797,1.5375562906265259,1.4972889423370361,"g_activation=relu, e_activation=relu",128,True,True,0.0002,5,1,relu,relu,0.5,0.0,0.0,-1004.2836303710938,61.75199890136719
g_gelu_e_leaky,outputs/gan_images/g_gelu_e_leaky.png,-298.64950942993164,136.40049743652344,165.167724609375,1.5171613693237305,1.5468206405639648,"g_activation=gelu, e_activation=leakyrelu",128,True,True,0.0002,5,1,gelu,leakyrelu,0.5,0.0,0.0,-670.0042114257812,72.70519256591797
real70_fake30,outputs/gan_images/real70_fake30.png,-405.6874313354492,149.33340454101562,184.47088623046875,1.6590038537979126,1.7033977508544922,real_ratio=0.7,128,True,True,0.0002,5,1,relu,leakyrelu,0.7,0.0,0.0,-873.6674194335938,62.29255676269531
real30_fake70,outputs/gan_images/real30_fake70.png,-320.4146919250488,144.71327209472656,179.9813995361328,1.5413302183151245,1.5915019512176514,real_ratio=0.3,128,True,True,0.0002,5,1,relu,leakyrelu,0.3,0.0,0.0,-726.1253051757812,85.2959213256836
dropout_10,outputs/gan_images/dropout_10.png,-250.9698715209961,192.93426513671875,218.9745330810547,1.8558571338653564,1.7283624410629272,"g_dropout=0.1, e_dropout=0.1",128,True,True,0.0002,5,1,relu,leakyrelu,0.5,0.1,0.1,-706.232666015625,204.2929229736328
dropout_20,outputs/gan_images/dropout_20.png,-276.08087158203125,230.50416564941406,270.3809509277344,2.219184160232544,2.208984136581421,"g_dropout=0.2, e_dropout=0.2",128,True,True,0.0002,5,1,relu,leakyrelu,0.5,0.2,0.2,-690.0333862304688,137.87164306640625
no_batchnorm_gen,outputs/gan_images/no_batchnorm_gen.png,-324.81822776794434,156.4047088623047,194.46630859375,1.512451171875,1.5007456541061401,use_batchnorm_gen=False,128,False,True,0.0002,5,1,relu,leakyrelu,0.5,0.0,0.0,-705.6905517578125,56.05409622192383
no_spectral_norm,outputs/gan_images/no_spectral_norm.png,-94.94576263427734,190.0418701171875,232.11500549316406,1.571484923362732,1.6185005903244019,use_spectral_norm=False,128,True,False,0.0002,5,1,relu,leakyrelu,0.5,0.0,0.0,-267.343994140625,77.45246887207031
